TOK,SHOT,PHASE,RGEO,AMIN,EPSILON,IP,BT,NEL,PL,KAPPA,DELTA,MEFF,TAUTH,RHO*,BETA,NU*,Q95,TAU_norm,SELDB5
ASDEX,6322,HSELM,1.676,0.3935,0.23478520286396184,0.3725,2.2,4.273,1.839,1.0160790690513954,1.0,1.5,0.06065,0.005917000029686599,0.005275793863444503,0.3344884274206349,3.132,0.08895333333333334,1
ASDEX,6322,HGELM,1.675,0.3981,0.23767164179104477,0.3705,2.2,4.518,2.028,1.0042039750488014,1.0,1.5,0.07109,0.006486592756623209,0.00686161199954348,0.2334059019712318,3.279,0.10426533333333335,1
ASDEX,6322,HGELM,1.673,0.4015,0.23998804542737598,0.3691,2.2,4.686,2.554,0.9959623979166303,1.0,1.5,0.06233,0.0068299278514417205,0.008025422861376702,0.18998968544238695,3.398,0.09141733333333335,1
ASDEX,6327,HSELM,1.676,0.3951,0.23573985680190931,0.3717,2.198,4.536,1.611,1.0115453396418728,1.0,1.5,0.07901,0.005906607627695338,0.005626335922545198,0.35268221946228273,3.178,0.11577598666666666,1
ASDEX,6327,HGELM,1.679,0.4,0.23823704586063132,0.3716,2.199,4.891,1.969,0.9996716693121508,1.0,1.5,0.08354,0.006531099146201453,0.0076024313665677854,0.24118010661512762,3.313,0.12246964,1
ASDEX,6327,HGELM,1.673,0.4019,0.24022713687985653,0.3693,2.198,4.924,2.511,0.9947307678696424,1.0,1.5,0.06374,0.006659735961328531,0.008033973372268379,0.22028297360078555,3.405,0.09340034666666668,1
ASDEX,6336,HGELM,1.674,0.3986,0.23811230585424134,0.2969,2.198,5.658,2.185,1.0038084142837993,1.0,1.5,0.04189,0.00468318217659234,0.004490368117057808,1.3385229300738364,4.103,0.06138281333333333,1
ASDEX,6336,HGELM,1.674,0.4022,0.24026284348864996,0.2948,2.198,5.668,2.381,0.9945248633082956,1.0,1.5,0.04557,0.005068422258223954,0.005364408751121287,0.9450321750855372,4.274,0.06677524,1
ASDEX,6336,HGELM,1.671,0.4031,0.2412327947336924,0.2946,2.198,5.658,2.53,0.992612740130931,1.0,1.5,0.04352,0.0051406296763844075,0.00553329069531133,0.8810457238545257,4.325,0.06377130666666668,1
ASDEX,6374,H,1.69,0.4254,0.25171597633136095,0.198,2.201,1.895,1.759,0.9410514592486201,1.0,1.5,0.03325,0.0050177742635317425,0.001966476378597222,0.384687884629831,8.195,0.04878883333333334,1
